,level,short_name,long_name
cpi,0,,All items
cpi:f,1,,Food
cpi:f:h,2,,Food at home
cpi:f:h:b,3,,Cereals and bakery products
cpi:f:h:b:c,4,,Cereals and cereal products
cpi:f:h:b:c:f,5,,Flour and prepared flour mixes
cpi:f:h:b:c:c,5,,Breakfast cereal
cpi:f:h:b:c:r,5,,"Rice, pasta, cornmeal"
cpi:f:h:b:c:r:r,6,,Rice
cpi:f:h:b:c:b,5,,Bakery products
cpi:f:h:b:c:b:b,6,,Bread
cpi:f:h:b:c:b:b:w,7,,White bread
cpi:f:h:b:c:b:b:o,7,,Bread other than white
cpi:f:h:b:c:b:r,6,,"Fresh biscuits, rolls, muffins"
cpi:f:h:b:c:b:c,6,,"Cakes, cupcakes, and cookies"
cpi:f:h:b:c:b:c:c,7,,Cookies
cpi:f:h:b:c:b:c:p,7,,Fresh cakes and cupcakes
cpi:f:h:b:c:b:o,6,,Other bakery products
cpi:f:h:b:c:b:o:s,7,,"Fresh sweetrolls, coffeecakes, doughnuts"
cpi:f:h:b:c:b:o:c,7,,"Crackers, bread, and cracker products"
cpi:f:h:b:c:b:o:f,7,,"Frozen and refrigerated bakery products, pies, tarts, turnovers"
cpi:f:h:m,3,,"Meats, poultry, fish, and eggs"
cpi:f:h:m:m,4,,"Meats, poultry, and fish"
cpi:f:h:m:m:m,5,,Meats
cpi:f:h:m:m:m:b,6,,Beef and veal
cpi:f:h:m:m:m:b:g,7,,Uncooked ground beef
cpi:f:h:m:m:m:b:r,7,,Uncooked beef roasts
cpi:f:h:m:m:m:b:s,7,,Uncooked beef steaks
cpi:f:h:m:m:m:b:o,7,,Uncooked other beef and veal
cpi:f:h:m:m:m:p,6,,Pork
cpi:f:h:m:m:m:p:b,7,,"Bacon, breakfast sausage, and related products"
cpi:f:h:m:m:m:p:b:b,8,,Bacon and related products
cpi:f:h:m:m:m:p:b:s,8,,Breakfast sausage and related products
cpi:f:h:m:m:m:p:h,7,,Ham
cpi:f:h:m:m:m:p:h:c,8,,"Ham, excluding canned"
cpi:f:h:m:m:m:p:c,7,,Pork chops
cpi:f:h:m:m:m:p:o,7,,"Other pork including roasts, steaks, and ribs"
cpi:f:h:m:m:m:o,6,,Other meats
cpi:f:h:m:m:m:o:f,7,,Frankfurters
cpi:f:h:m:m:m:o:l,7,,Lunchmeats
cpi:f:h:m:m:m:f,6,,Poultry
cpi:f:h:m:m:m:f:c,7,,Chicken
cpi:f:h:m:m:m:f:c:w,8,,Fresh whole chicken
cpi:f:h:m:m:m:f:c:f,8,,Fresh and frozen chicken parts
cpi:f:h:m:m:m:f:o,7,,Other uncooked poultry including turkey
cpi:f:h:m:m:m:s,6,,Fish and seafood
cpi:f:h:m:m:m:s:f,7,,Fresh fish and seafood
cpi:f:h:m:m:m:s:p,7,,Processed fish and seafood
cpi:f:h:m:m:m:s:p:s,8,,Shelf stable fish and seafood
cpi:f:h:m:m:m:s:p:f,8,,Frozen fish and seafood
cpi:f:h:m:m:e,5,,Eggs
cpi:f:h:d,3,,Dairy and related products
cpi:f:h:d:m,4,,Milk
cpi:f:h:d:m:f,5,,Fresh whole milk
cpi:f:h:d:m:o,5,,Fresh milk other than whole
cpi:f:h:d:c,4,,Cheese and related products
cpi:f:h:d:i,4,,Ice cream and related products
cpi:f:h:d:o,4,,Other dairy and related products
cpi:f:h:v,3,,Fruits and vegetables
cpi:f:h:v:f,4,,Fresh fruits and vegetables
cpi:f:h:v:f:f,5,,Fresh fruits
cpi:f:h:v:f:f:a,6,,Apples
cpi:f:h:v:f:f:b,6,,Bananas
cpi:f:h:v:f:f:c,6,,Citrus fruits
cpi:f:h:v:f:f:c:o,7,,"Oranges, including tangerines"
cpi:f:h:v:f:f:o,6,,Other fresh fruits
cpi:f:h:v:f:v,5,,Fresh vegetables
cpi:f:h:v:f:v:p,6,,Potatoes
cpi:f:h:v:f:v:l,6,,Lettuce
cpi:f:h:v:f:v:t,6,,Tomatoes
cpi:f:h:v:f:v:o,6,,Other fresh vegetables
cpi:f:h:v:f:p,5,,Processed fruits and vegetables
cpi:f:h:v:f:p:c,6,,Canned fruits and vegetables
cpi:f:h:v:f:p:c:f,7,,Canned fruits
cpi:f:h:v:f:p:c:v,7,,Canned vegetables
cpi:f:h:v:f:p:f,6,,Frozen fruits and vegetables
cpi:f:h:v:f:p:f:v,7,,Frozen vegetables
cpi:f:h:v:f:p:o,6,,Other processed fruits and vegetables including dried
cpi:f:h:v:f:p:o:b,7,,"Dried beans, peas, and lentils"
cpi:f:h:l,3,,Nonalcoholic beverages and beverage materials
cpi:f:h:l:j,4,,Juices and nonalcoholic drinks
cpi:f:h:l:j:c,5,,Carbonated drinks
cpi:f:h:l:j:f,5,,Frozen noncarbonated juices and drinks
cpi:f:h:l:j:n,5,,Nonfrozen noncarbonated juices and drinks
cpi:f:h:l:m,4,,Beverage materials including coffee and tea
cpi:f:h:l:m:c,5,,Coffee
cpi:f:h:l:m:c:r,6,,Roasted coffee
cpi:f:h:l:m:c:i,6,,Instant coffee
cpi:f:h:l:m:o,5,,Other beverage materials including tea
cpi:f:h:o,3,,Other food at home
cpi:f:h:o:s,4,,Sugar and sweets
cpi:f:h:o:s:s,5,,Sugar and sugar substitutes
cpi:f:h:o:s:c,5,,Candy and chewing gum
cpi:f:h:o:s:o,5,,Other sweets
cpi:f:h:o:f,4,,Fats and oils
cpi:f:h:o:f:b,5,,Butter and margarine
cpi:f:h:o:f:b:b,6,,Butter
cpi:f:h:o:f:b:m,6,,Margarine
cpi:f:h:o:f:s,5,,Salad dressing
cpi:f:h:o:f:o,5,,Other fats and oils including peanut butter
cpi:f:h:o:f:o:p,6,,Peanut butter
cpi:f:h:o:o,4,,Other foods
cpi:f:h:o:o:s,5,,Soups
cpi:f:h:o:o:f,5,,Frozen and freeze dried prepared foods
cpi:f:h:o:o:k,5,,Snacks
cpi:f:h:o:o:c,5,,"Spices, seasonings, condiments, sauces"
cpi:f:h:o:o:c:s,6,,Salt and other seasonings and spices
cpi:f:h:o:o:c:p,6,,"Olives, pickles, relishes"
