,level,short_name,long_name
pce,0,PCE,Personal consumption expenditures
pce:g,1,Goods,Goods
pce:g:d,2,Durables,Durable goods
pce:g:d:v,3,Vehicles & parts,Motor vehicles and parts
pce:g:d:v:n,4,New vehicles,New motor vehicles (55)
pce:g:d:v:n:a,5,New cars,New autos
pce:g:d:v:n:a:d,6,New domestic cars,New domestic autos
pce:g:d:v:n:a:f,6,New foreign cars,New foreign autos
pce:g:d:v:n:t,5,New light trucks,New light trucks
pce:g:d:v:u,4,Used vehicles,Net purchases of used motor vehicles (56)
pce:g:d:v:u:a,5,Used cars,Used autos
pce:g:d:v:u:a:n,6,Net trans. in used cars,Net transactions in used autos
pce:g:d:v:u:a:m,6,Used car margin,Used auto margin
pce:g:d:v:u:a:e,6,Used car employee pay,Employee reimbursement
pce:g:d:v:u:t,5,Used light trucks,Used light trucks
pce:g:d:v:u:t:n,6,Net trans. in used trucks,Net transactions in used trucks
pce:g:d:v:u:t:m,6,Used truck margin,Used truck margin
pce:g:d:v:p,4,Vehicles parts,Motor vehicle parts and accessories (58)
pce:g:d:v:p:t,5,Tires,Tires
pce:g:d:v:p:a,5,Acc. & parts,Accessories and parts
pce:g:d:f,3,Furnishings & HH equip.,Furnishings and durable household equipment
pce:g:d:f:f,4,Furniture & furnishings,Furniture and furnishings (parts of 31 and 32)
pce:g:d:f:f:f,5,Furniture,Furniture
pce:g:d:f:f:d,5,Decorative HH items,"Clocks, lamps, lighting fixtures, and other household decorative items"
pce:g:d:f:f:c,5,"Carpets, etc.",Carpets and other floor coverings
pce:g:d:f:f:w,5,Blinds,Window coverings
pce:g:d:f:a,4,HH appliances,Household appliances (part of 33)
pce:g:d:f:a:m,5,Major HH appliances,Major household appliances
pce:g:d:f:a:s,5,Small HH appliances,Small electric household appliances
pce:g:d:f:u,4,Tableware & utensils,"Glassware, tableware, and household utensils (34)"
pce:g:d:f:u:d,5,Flatware,Dishes and flatware
pce:g:d:f:u:c,5,"Cookware, etc.",Nonelectric cookware and tableware
pce:g:d:f:t,4,HH tools & equip.,Tools and equipment for house and garden (35)
pce:g:d:f:t:t,5,HH tools,"Tools, hardware, and supplies"
pce:g:d:f:t:o,5,HH outdoor equip.,Outdoor equipment and supplies
pce:g:d:r,3,Rec. goods & vehicles,Recreational goods and vehicles
pce:g:d:r:t,4,Rec. Audiovisual,"Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)"
pce:g:d:r:t:v,5,AV equip.,Video and audio equipment
pce:g:d:r:t:v:t,6,TVs,Televisions
pce:g:d:r:t:v:o,6,Misc. video equip.,Other video equipment
pce:g:d:r:t:v:a,6,Audio equip.,Audio equipment
pce:g:d:r:t:v:r,6,AV media,Recording media
pce:g:d:r:t:v:r:a,7,Audio media,"Audio discs, tapes, vinyl, and permanent digital downloads"
pce:g:d:r:t:v:r:v,7,Video media,"Video discs, tapes, and permanent digital downloads"
pce:g:d:r:t:p,5,Photo equip.,Photographic equipment
pce:g:d:r:t:i,5,Info equip.,Information processing equipment
pce:g:d:r:t:i:p,6,PCs,Personal computers/tablets and peripheral equipment
pce:g:d:r:t:i:c,6,Rec. software,Computer software and accessories
pce:g:d:r:t:i:t,6,Misc. info equip.,"Calculators, typewriters, and other information processing equipment"
pce:g:d:r:s,4,Sport equip.,"Sporting equipment, supplies, guns, and ammunition (part of 80)"
pce:g:d:r:v,4,Sport vehicles,Sports and recreational vehicles (79)
pce:g:d:r:v:m,5,Motorcycles,Motorcycles
pce:g:d:r:v:b,5,Bikes,Bicycles and accessories
pce:g:d:r:v:p,5,Rec. vehicles,"Pleasure boats, aircraft, and other recreational vehicles"
pce:g:d:r:v:p:b,6,Rec. boats,Pleasure boats
